09717845,0.5109717845
6574,-0.5109717845,0.5109717845
6578,-0.5109717845,0.5109717845
6581,-0.5109717845,0.5109717845
6584,-0.5109717845,0.5109717845
6588,-0.5047021865,0.5047021865
6591,-0.5047021865,0.5047021865
6594,-0.5047021865,0.5047021865
6598,-0.5047021865,0.5047021865
6601,-0.5047021865,0.5047021865
6604,-0.5047021865,0.5047021865
6607,-0.4858933448,0.4858933448
6611,-0.4858933448,0.4858933448
6615,-0.4858933448,0.4858933448
6618,-0.4858933448,0.4858933448
6622,-0.4858933448,0.4858933448
6625,-0.4858933448,0.4858933448
6628,-0.4733542442,0.4733542442
6632,-0.4733542442,0.4733542442
6635,-0.4733542442,0.4733542442
6638,-0.4733542442,0.4733542442
6642,-0.4733542442,0.4733542442
6645,-0.4733542442,0.4733542442
6648,-0.4545454978,0.4545454978
6652,-0.4545454978,0.4545454978
6656,-0.4545454978,0.4545454978
6659,-0.4545454978,0.4545454978
6663,-0.4545454978,0.4545454978
6666,-0.4545454978,0.4545454978
6669,-0.4482758045,0.4482758045
6673,-0.4482758045,0.4482758045
6676,-0.4482758045,0.4482758045
6679,-0.4482758045,0.4482758045
6682,-0.4482758045,0.4482758045
6686,-0.4482758045,0.4482758045
6689,-0.4294671058,0.4294671058
6692,-0.4294671058,0.4294671058
6696,-0.4294671058,0.4294671058
6700,-0.4294671058,0.4294671058
6703,-0.4294671058,0.4294671058
6707,-0.4294671058,0.4294671058
6710,-0.4106583595,0.4106583595
6713,-0.4106583595,0.4106583595
6717,-0.4106583595,0.4106583595
6720,-0.4106583595,0.4106583595
6723,-0.4106583595,0.4106583595
6726,-0.4106583595,0.4106583595
6730,-0.3918495178,0.3918495178
6733,-0.3918495178,0.3918495178
6736,-0.3918495178,0.3918495178
6740,-0.3918495178,0.3918495178
6744,-0.3918495178,0.3918495178
6747,-0.3918495178,0.3918495178
6751,-0.3730407953,0.3730407953
6754,-0.3730407953,0.3730407953
6757,-0.3730407953,0.3730407953
6761,-0.3730407953,0.3730407953
6764,-0.3730407953,0.3730407953
6767,-0.3730407953,0.3730407953
6771,-0.3542319536,0.3542319536
6774,-0.3542319536,0.3542319536
6777,-0.3542319536,0.3542319536
6781,-0.3542319536,0.3542319536
6785,-0.3542319536,0.3542319536
6788,-0.3542319536,0.3542319536
6792,-0.3354232311,0.3354232311
6795,-0.3354232311,0.3354232311
6798,-0.3354232311,0.3354232311
6802,-0.3354232311,0.3354232311
6805,-0.3354232311,0.3354232311
6808,-0.3354232311,0.3354232311
6812,-0.3166143894,0.3166143894
6815,-0.3166143894,0.3166143894
6818,-0.3166143894,0.3166143894
6822,-0.3166143894,0.3166143894
6825,-0.3166143894,0.3166143894
6829,-0.3166143894,0.3166143894
6832,-0.2978056716,0.2978056716
6836,-0.2978056716,0.2978056716
6839,-0.2978056716,0.2978056716
6843,-0.2978056716,0.2978056716
6846,-0.2978056716,0.2978056716
6849,-0.2978056716,0.2978056716
6852,-0.2789968252,0.2789968252
6856,-0.2789968252,0.2789968252
6859,-0.2789968252,0.2789968252
6862,-0.2789968252,0.2789968252
6866,-0.2789968252,0.2789968252
6870,-0.2789968252,0.2789968252
6873,-0.2413792610,0.2413792610
6877,-0.2413792610,0.2413792610
6880,-0.2413792610,0.2413792610
6883,-0.2413792610,0.2413792610
6887,-0.2413792610,0.2413792610
6890,-0.2413792610,0.2413792610
6893,-0.2351096868,0.2351096868
6897,-0.2351096868,0.2351096868
6900,-0.2351096868,0.2351096868
6903,-0.2351096868,0.2351096868
6907,-0.2351096868,0.2351096868
6910,-0.2351096868,0.2351096868
6914,-0.2037616968,0.2037616968
6918,-0.2037616968,0.2037616968
6921,-0.2037616968,0.2037616968
6924,-0.2037616968,0.2037616968
6927,-0.2037616968,0.2037616968
6931,-0.2037616968,0.2037616968
6934,-0.1912225532,0.1912225532
6937,-0.1912225532,0.1912225532
6941,-0.1912225532,0.1912225532
6944,-0.1912225532,0.1912225532
6947,-0.1912225532,0.1912225532
6951,-0.1912225532,0.1912225532
6955,-0.1912225532,0.1912225532
6958,-0.1724138259,0.1724138259
6962,-0.1724138259,0.1724138259
6965,-0.1724138259,0.1724138259
6968,-0.1724138259,0.1724138259
6972,-0.1724138259,0.1724138259
6975,-0.1724138259,0.1724138259
6978,-0.1410658359,0.1410658359
6982,-0.1410658359,0.1410658359
6985,-0.1410658359,0.1410658359
6988,-0.1410658359,0.1410658359
6992,-0.1410658359,0.1410658359
6995,-0.1410658359,0.1410658359
6999,-0.1159874200,0.1159874200
7003,-0.1159874200,0.1159874200
7006,-0.1159874200,0.1159874200
7009,-0.1159874200,0.1159874200
7013,-0.1159874200,0.1159874200
7016,-0.1159874200,0.1159874200
7019,-0.1034482717,0.1034482717
7023,-0.1034482717,0.1034482717
7026,-0.1034482717,0.1034482717
7029,-0.1034482717,0.1034482717
7033,-0.1034482717,0.1034482717
7036,-0.1034482717,0.1034482717
7040,-0.0783698558,0.0783698558
7044,-0.0783698558,0.0783698558
7047,-0.0783698558,0.0783698558
7050,-0.0783698558,0.0783698558
7053,-0.0783698558,0.0783698558
7057,-0.0783698558,0.0783698558
7060,-0.0532915592,0.0532915592
7064,-0.0532915592,0.0532915592
7067,-0.0532915592,0.0532915592
7070,-0.0532915592,0.0532915592
7073,-0.0532915592,0.0532915592
7077,-0.0532915592,0.0532915592
7080,-0.0282131433,0.0282131433
7084,-0.0282131433,0.0282131433
7088,-0.0282131433,0.0282131433
7091,-0.0282131433,0.0282131433
7094,-0.0282131433,0.0282131433
7098,-0.0282131433,0.0282131433
7101,0.0094043617,-0.0094043617
7104,0.0094043617,-0.0094043617
7108,0.0094043617,-0.0094043617
7111,0.0094043617,-0.0094043617
7114,0.0094043617,-0.0094043617
7118,0.0094043617,-0.0094043617
7121,0.0344827771,-0.0344827771
7124,0.0344827771,-0.0344827771
7129,0.0344827771,-0.0344827771
7132,0.0344827771,-0.0344827771
7135,0.0344827771,-0.0344827771
7139,0.0344827771,-0.0344827771
7142,0.0658307075,-0.0658307075
7145,0.0658307075,-0.0658307075
7149,0.0658307075,-0.0658307075
7152,0.0658307075,-0.0658307075
7155,0.0658307075,-0.0658307075
7158,0.0658307075,-0.0658307075
7162,0.0846394920,-0.0846394920
7165,0.0846394920,-0.0846394920
7169,0.0846394920,-0.0846394920
7173,0.0846394920,-0.0846394920
7176,0.0846394920,-0.0846394920
7179,0.0846394920,-0.0846394920
7183,0.1159874796,-0.1159874796
7186,0.1159874796,-0.1159874796
7189,0.1159874796,-0.1159874796
7193,0.1159874796,-0.1159874796
7196,0.1159874796,-0.1159874796
7199,0.1159874796,-0.1159874796
7203,0.1347962617,-0.1347962617
7206,0.1347962617,-0.1347962617
7209,0.1347962617,-0.1347962617
7214,0.1347962617,-0.1347962617
7217,0.1347962617,-0.1347962617
7220,0.1347962617,-0.1347962617
7224,0.1661441898,-0.1661441898
7227,0.1661441898,-0.1661441898
7230,0.1661441898,-0.1661441898
7234,0.1661441898,-0.1661441898
7237,0.1661441898,-0.1661441898
7240,0.1661441898,-0.1661441898
7244,0.1912225532,-0.1912225532
7247,0.1912225532,-0.1912225532
7250,0.1912225532,-0.1912225532
7255,0.1912225532,-0.1912225532
7258,0.1912225532,-0.1912225532
7261,0.1912225532,-0.1912225532
7265,0.2163009643,-0.2163009643
7268,0.2163009643,-0.2163009643
7271,0.2163009643,-0.2163009643
7275,0.2163009643,-0.2163009643
7278,0.2163009643,-0.2163009643
7281,0.2163009643,-0.2163009643
7285,0.2413793087,-0.2413793087
7288,0.2413793087,-0.2413793087
7291,0.2413793087,-0.2413793087
7296,0.2413793087,-0.2413793087
7299,0.2413793087,-0.2413793087
7302,0.2413793087,-0.2413793087
7305,0.2664576768,-0.2664576768
7309,0.2664576768,-0.2664576768
7312,0.2664576768,-0.2664576768
7315,0.2664576768,-0.2664576768
7319,0.2664576768,-0.2664576768
7322,0.2664576768,-0.2664576768
7325,0.2915360450,-0.2915360450
7329,0.2915360450,-0.2915360450
7332,0.2915360450,-0.2915360450
7335,0.2915360450,-0.2915360450
7340,0.2915360450,-0.2915360450
7343,0.2915360450,-0.2915360450
7346,0.3103448152,-0.3103448152
7350,0.3103448152,-0.3103448152
7353,0.3103448152,-0.3103448152
7356,0.3103448152,-0.3103448152
7360,0.3103448152,-0.3103448152
7363,0.3103448152,-0.3103448152
7366,0.3166144371,-0.3166144371
7370,0.3166144371,-0.3166144371
7373,0.3166144371,-0.3166144371
7376,0.3166144371,-0.3166144371
7380,0.3166144371,-0.3166144371
7384,0.3166144371,-0.3166144371
7387,0.3542319536,-0.3542319536
7391,0.3542319536,-0.3542319536
7394,0.3542319536,-0.3542319536
7397,0.3542319536,-0.3542319536
7401,0.3542319536,-0.3542319536
7404,0.3542319536,-0.3542319536
7407,0.3667711734,-0.3667711734
7411,0.3667711734,-0.3667711734
7414,0.3667711734,-0.3667711734
7417,0.3667711734,-0.3667711734
7421,0.3667711734,-0.3667711734
7425,0.3667711734,-0.3667711734
7428,0.3793103694,-0.3793103694
7432,0.3793103694,-0.3793103694
7435,0.3793103694,-0.3793103694
7438,0.3793103694,-0.3793103694
7441,0.3793103694,-0.3793103694
7445,0.3793103694,-0.3793103694
7448,0.3981191635,-0.3981191635
7451,0.3981191635,-0.3981191635
7455,0.3981191635,-0.3981191635
7458,0.3981191635,-0.3981191635
7461,0.3981191635,-0.3981191635
7465,0.3981191635,-0.3981191635
7469,0.4231975078,-0.4231975078
7472,0.4231975078,-0.4231975078
7476,0.4231975078,-0.4231975078
7479,0.4231975078,-0.4231975078
7482,0.4231975078,-0.4231975078
7486,0.4231975078,-0.4231975078
7489,0.4231975078,-0.4231975078
7492,0.4231975078,-0.4231975078
7496,0.4231975078,-0.4231975078
7499,0.4231975078,-0.4231975078
7502,0.4231975078,-0.4231975078
7505,0.4231975078,-0.4231975078
7510,0.4231975078,-0.4231975078
7513,0.4420063018,-0.4420063018
7516,0.4420063018,-0.4420063018
7520,0.4420063018,-0.4420063018
7523,0.4420063018,-0.4420063018
7526,0.4420063018,-0.4420063018
7530,0.4420063018,-0.4420063018
7533,0.4670846462,-0.4670846462
7536,0.4670846462,-0.4670846462
7540,0.4670846462,-0.4670846462
7543,0.4670846462,-0.4670846462
7546,0.4670846462,-0.4670846462
7549,0.4670846462,-0.4670846462
7554,0.4670846462,-0.4670846462
7557,0.4670846462,-0.4670846462
7560,0.4670846462,-0.4670846462
7564,0.4670846462,-0.4670846462
7567,0.4670846462,-0.4670846462
7570,0.4670846462,-0.4670846462
7574,0.4796238422,-0.4796238422
7577,0.4796238422,-0.4796238422
7580,0.4796238422,-0.4796238422
7584,0.4796238422,-0.4796238422
7587,0.4796238422,-0.4796238422
7590,0.4796238422,-0.4796238422
7595,0.5109717845,-0.5109717845
7598,0.5109717845,-0.5109717845
7601,0.5109717845,-0.5109717845
7605,0.5109717845,-0.5109717845
7608,0.5109717845,-0.5109717845
7611,0.5109717845,-0.5109717845
7614,0.5172413825,-0.5172413825
7618,0.5172413825,-0.5172413825
7621,0.5172413825,-0.5172413825
7625,0.5172413825,-0.5172413825
7628,0.5172413825,-0.5172413825
7631,0.5172413825,-0.5172413825
7634,0.5172413825,-0.5172413825
7639,0.5172413825,-0.5172413825
7642,0.5172413825,-0.5172413825
7646,0.5172413825,-0.5172413825
7649,0.5172413825,-0.5172413825
7652,0.5172413825,-0.5172413825
7655,0.5235109329,-0.5235109329
7659,0.5235109329,-0.5235109329
7662,0.5235109329,-0.5235109329
7666,0.5235109329,-0.5235109329
7669,0.5235109329,-0.5235109329
7672,0.5235109329,-0.5235109329
7675,0.5235109329,-0.5235109329
7680,0.5235109329,-0.5235109329
7683,0.5235109329,-0.5235109329
7686,0.5235109329,-0.5235109329
7690,0.5235109329,-0.5235109329
7693,0.5235109329,-0.5235109329
7696,0.5235109329,-0.5235109329
7700,0.5235109329,-0.5235109329
7703,0.5235109329,-0.5235109329
7706,0.5235109329,-0.5235109329
7710,0.5235109329,-0.5235109329
7713,0.5235109329,-0.5235109329
7716,0.5235109329,-0.5235109329
7720,0.5235109329,-0.5235109329
7724,0.5235109329,-0.5235109329
7727,0.5235109329,-0.5235109329
7731,0.5235109329,-0.5235109329
7734,0.5235109329,-0.5235109329
7737,0.5297805786,-0.5297805786
7741,0.5297805786,-0.5297805786
7744,0.5297805786,-0.5297805786
7747,0.5297805786,-0.5297805786
7751,0.5297805786,-0.5297805786
7754,0.5297805786,-0.5297805786
7757,0.5297805786,-0.5297805786
7761,0.5297805786,-0.5297805786
7764,0.5297805786,-0.5297805786
7768,0.5297805786,-0.5297805786
7771,0.5297805786,-0.5297805786
7775,0.5297805786,-0.5297805786
7778,0.5297805786,-0.5297805786
7781,0.5297805786,-0.5297805786
7785,0.5297805786,-0.5297805786
7788,0.5297805786,-0.5297805786
7791,0.5297805786,-0.5297805786
7795,0.5297805786,-0.5297805786
7798,0.5297805786,-0.5297805786
7801,0.5297805786,-0.5297805786
7805,0.5297805786,-0.5297805786
7809,0.5297805786,-0.5297805786
7812,0.5297805786,-0.5297805786
7815,0.5297805786,-0.5297805786
7819,0.5235109329,-0.5235109329
7822,0.5235109329,-0.5235109329
7825,0.5235109329,-0.5235109329
7829,0.5235109329,-0.5235109329
7832,0.5235109329,-0.5235109329
7835,0.5235109329,-0.5235109329
7839,0.5235109329,-0.5235109329
7842,0.5235109329,-0.5235109329
7845,0.5235109329,-0.5235109329
7849,0.5235109329,-0.5235109329
7853,0.5235109329,-0.5235109329
7856,0.5235109329,-0.5235109329
7860,0.5235109329,-0.5235109329
7863,0.5235109329,-0.5235109329
